project_name;files_ok;files_erros
pytest-dev/pytest-django;32978;0
slackapi/python-slack-sdk;33405;0
pytorch/text;33573;0
slgobinath/safeeyes;33598;0
jieter/django-tables2;33685;0
keras-team/autokeras;33813;0
jazzband/django-taggit;33851;0
qutip/qutip;34080;0
acl-org/acl-anthology;34165;0
arviz-devs/arviz;34415;0
openprinting/system-config-printer;34493;0
shapely/shapely;34644;0
kaggle/docker-python;34778;0
paramiko/paramiko;34864;0
identitypython/pysaml2;35113;0
cloud-cv/evalai;35419;0
jazzband/sorl-thumbnail;35486;0
xingyizhou/unidet;35530;0
fedora-selinux/selinux-policy;35535;3
dipy/dipy;35945;0
mopidy/mopidy;36079;0
rasterio/rasterio;36250;0
hardbyte/python-can;36398;0
cowrie/cowrie;36569;0
awslabs/amazon-redshift-utils;36620;1
google/yapf;36680;0
influxdata/influxdb-python;36719;0
napari/napari;37529;0
litex-hub/litex-boards;37819;1
disclose/diodb;37824;0
python-discord/sir-lancebot;37954;0
altair-viz/altair;38238;0
pyro-ppl/pyro;38854;0
stm32-rs/stm32-rs;38864;0
aws-cloudformation/cfn-lint;39359;0
oca/contract;39579;0
spiral-project/ihatemoney;39618;0
xhtml2pdf/xhtml2pdf;39689;4
evennia/evennia;40280;1
coleifer/peewee;40368;0
pyocd/pyocd;40715;0
bentoml/bentoml;41075;0
facebookresearch/pytext;41489;0
python-visualization/folium;41567;0
gorakhargosh/watchdog;41618;0
vnpy/vnpy;41659;0
datastax/python-driver;41917;0
reviewboard/rbtools;42066;0
jazzband/django-silk;42176;0
jpadilla/pyjwt;42203;0
tektoncd/community;42207;0
django/django-localflavor;42576;0
jazzband/django-constance;42639;0
prometheus/client_python;42680;0
hastagab/awesome-python-scripts;42834;8
mindsdb/mindsdb;43397;0
faust-streaming/faust;43789;0
stevenblack/hosts;43793;0
zulip/python-zulip-api;44004;0
apple/swift-source-compat-suite;44011;0
openstack/python-swiftclient;44046;0
hhursev/recipe-scrapers;44522;0
ngerakines/commitment;44523;1
autotest/autotest;45036;78
googlecloudplatform/perfkitbenchmarker;45891;1
boto/boto3;45989;0
codespell-project/codespell;45996;0
aws-samples/serverless-patterns;46245;0
duckduckgo/zeroclickinfo-fathead;46322;12
python-babel/babel;46381;3
zostera/django-bootstrap5;46437;0
kinto/kinto;46611;0
svinota/pyroute2;46979;0
poliastro/poliastro;47166;0
open-mmlab/mmsegmentation;48182;0
